original_name,mapped_admin1,area_km2,country
Valais,Valais,5208.0346535873105,CHE
Grisons,Graubünden,7062.686695296497,CHE
Bern,Bern,5969.566920708363,CHE
Schwyz,Schwyz,889.6721200421642,CHE
Uri,Uri,1070.7385737713219,CHE
Ticino,Ticino,2854.2038729789615,CHE
Lucerne,Lucerne,1526.6689208128305,CHE
Obwalden,Obwalden,483.2093495217498,CHE
Vaud,Vaud,3206.573695378876,CHE
Saint Gallen,Sankt Gallen,1991.6896893547691,CHE
Glarus,Glarus,692.2770010698466,CHE
Zurich,Zürich,1737.9559817240947,CHE
Thurgau,Thurgau,1015.33384601697,CHE
Basel-Landschaft,Basel-Landschaft,508.0655507330221,CHE
Fribourg,Fribourg,1682.93388852535,CHE
Appenzell Innerrhoden,Appenzell Innerrhoden,172.43433533751937,CHE
Appenzell Ausserrhoden,Appenzell Ausserrhoden,245.6395382790299,CHE
Zug,Zug,240.36373780140588,CHE
Neuchatel,Neuchâtel,811.2501601662166,CHE
Balzers,Balzers,20.47217788776602,LIE
Planken,Planken,5.696400339500062,LIE
Schellenberg,Schellenberg,3.197289984643105,LIE
Triesen,Triesen,26.208891553493224,LIE
Vaduz,Valduz,16.6243696574758,LIE
Tyrol,Tirol,12651.21347975554,AUT
Lower Austria,Niederösterreich,19199.543914341004,AUT
Upper Austria,Oberösterreich,11987.563639760938,AUT
Salzburg,Salzburg,7162.3321178104725,AUT
Carinthia,Kärnten,9545.135064483427,AUT
Styria,Steiermark,16417.082422574214,AUT
Vorarlberg,Vorarlberg,2603.7526354058505,AUT
Bavaria,Bayern,70531.93489903907,DEU
Baden-Wuerttemberg,Baden-Württemberg,36071.781782976504,DEU
Rhone-Alpes,Auvergne-Rhône-Alpes,71212.08947652881,FRA
Provence-Alpes-Cote d'Azur,Provence-Alpes-Côte d'Azur,31941.562008347486,FRA
Lombardy,Lombardia,23899.3405726612,ITA
Aosta Valley,Valle d'Aosta,3248.1401235353233,ITA
Piedmont,Piemonte,25290.29580057033,ITA
Friuli Venezia Giulia,Friuli-Venezia Giulia,7794.428628811737,ITA
Trentino-Alto Adige,Trentino-Alto Adige,13595.17103571558,ITA
Veneto,Veneto,17896.28702743716,ITA
Radece,Savinjska,2397.2239514687317,SVN
Tolmin,Goriška,2277.7633678534703,SVN
Skofja Loka,Gorenjska,2117.086990734289,SVN
Slovenska Bistrica,Podravska,2131.023050792387,SVN
Kranjska Gora,Gorenjska,2117.086990734289,SVN
Naklo,Gorenjska,2117.086990734289,SVN
Cerkno,Goriška,2277.7633678534703,SVN
Maribor,Podravska,2131.023050792387,SVN
Gorenja Vas-Poljane,Gorenjska,2117.086990734289,SVN
Medvode,Osrednjeslovenska,2546.0538560114587,SVN
Gorje,Gorenjska,2117.086990734289,SVN
Bovec,Goriška,2277.7633678534703,SVN
Zelezniki,Gorenjska,2117.086990734289,SVN
Jezersko,Gorenjska,2117.086990734289,SVN
Solcava,Savinjska,2397.2239514687317,SVN
Luce,Savinjska,2397.2239514687317,SVN
